Especie|Nombres vernáculo|Familia|Distribución|Descripción de la especie|Fenología|Usos 
Dendropanax Arboreus (L.) Decne y Planch   | Fosforillo o palo de agua | Araliaceae   | Es un árbol nativo de América Central y América del Sur. Su distribución geográfica se extiende desde el sur de México hasta Colombia, Venezuela y Brasil. Se encuentra en una variedad de hábitats, desde bosques tropicales húmedos hasta áreas de selva y vegetación secundaria.  | Árbol epifito  muy ramificado, perennifolio, de 14 a  25m de altura con un diámetro a entre  25 y 70 cm. Sus hojas son color verde oscuro, lustrosas en el haz y verde claro en  el envés; tiene un tronco cilíndrico, corteza externa lisa a ligeramente fisurada y la  interna es color crema y de olor fragante. Posee racimos florales compuestas y  terminales de color amarillo. El fruto es verde blancuzco y contiene de 5 a 7  semillas. Prospera sobre suelo rocoso, potreros, milpas, cultivos y zonas  protegidas cerca de corri entes de agua.   |  Florece durante todo el año especialmente de diciembre a agosto y los  frutos maduran especialmente de marzo a agosto .  |  Es una especie de rápido crecimiento y no necesita mucha luz  para su establecimiento; es una especie con potencial para reforestación  productiva en zonas degradadas. Es aplicada en sistemas agroforestales  asociados especialmente con cultivos de café y también se encuentra de forma  aislada en potreros. También se ha empleado para rehabilitar sitios donde hubo  explotación minera, es un árbol de follaje denso y ornamental que sirve de  sombra, refugio y puede crecer en áreas con mucha sombra. Su madera es  utilizada para leña, construcción de interiores, pulpa para papel, ebanistería,  fabricación de artesa nías y carpintería en general; la hoja se emplea como  remedio para la fiebre y para lavados intestinales  (Revue, 1854) .
Dialium guianense  Willd.   |  palo lacandón, tamarindo de montaña o guapaque   | Fabaceae - Caesalpinioideae   | Se encuentra en el Pacífico norte, central y sur, así  como en la zona norte y Caribe. La dis tribución altitudinal varía de 760 -1500  m.s.n.m.   | Árbol de 3 metros de altura,  con una copa densa pero a  menudo arbustiva, corteza lisa grisácea, al hacer corte se torna rojizo, generando  una goma roja. Hojas con un folíolo terminal impar y por lo general 2 pares de  folíolos opuestos o alternos, el par inferior es algo más pequeño; elípticas a  ampliamente elípticas, a veces ligeramente obovadas, el ápice acuminado o  abruptamente acuminado, simétrica y redondeada o ligeramente cuneada en la  base, coriáceas, glabras y con el nervio central ligeramente hundido, a veces  finamente peludas  por debajo. Flores generalmente blanquecinas. Los frutos  generalmente son abundante s, casi globosos , de hasta 2,5 cm de diámetro,  densamente aterciopelado, negro y cada fruto con un tallo de unos 6 mm de largo  con un cuello pequeño cerca del ápice, con un a cáscara frágil adjuntando 1  semilla (o excepcionalmente 2), de color marrón, con dulzura ácida, pulpa  comestible. | A fines del verano produce pequeñas flores fragantes y amarillentas, en paní­culas axilares y terminales de 4 a 10 cm de largo, pubescentes, que en primavera se terminan desarrollando en un fruto en forma de vaina de 1 a 2 cm de largo, ovalada, que consiste en una cáscara color pardo, rígida pero frágil, una pulpa esponjosa y suave, color pardo y de sabor agridulce, similar al del tamarindo (Tamarindus indica).   |  Comida: La pulpa es de color rojo, con un dulce -amargo,Se pelan  y se comen crudas, también pueden ser remojados en agua y se  prepara como  bebida. El árbol se dice que es bueno hacer leña y carbón vegetal. La albura es de  color blanco con marcas de onda distintas, el duramen es de color rojo -marrón. La  madera es dura, durable, pesada, de color marrón claro, con una textura fina.  Se  utiliza para vehículos, viviendas y pisos. La corteza y hojas se utilizan contra  varias enfermedades.
Diphisa americana  (Mill)M. Sousa  | Guachipelín.   | Fabaceae - Caesalpinioideae   | Desde México hasta Panamá. Esta especie se encuentra en  la vertiente del Pacífico Norte y Pacífico  Central, así com o en el Valle Central.  Por  su atractiva estructura y sus abundantes  flores amarillas es muy utilizada como ornamental.  También se utiliza en cercas,  cortinas rompevientos y asociada a cultivos por su capacidad de fijar nitrógeno en  el suelo.  Se encuentra  de 0- 1850 m.s.n.m.   | Es un árbol que alcanza una altura de 15 m; no  obstante, en sitio s con suelos fértiles puede alcanzar hasta 22 m  normalmente se  ramifica desde la mitad del fuste; su copa es extendida e irregular. Las ramitas   delga - das son de color verde grisáceo, con lenticelas blancas muy peque ñas y  grietas anchas. La corte za de los árboles jóvenes es muy llamativa porque posee  gran cantidad de largas grietas verticales de color amarillo fuerte. En los árboles  viejos, con d iámetros mayores, la corteza es similar a la de los pinos: muy gruesa,  con lomo prominente y muy áspero . Hojas compuestas, alternas, imparipinnadas,  de 3 a 15 cm de longitud, a menudo con 3 -13 pares de hojuelas de forma elíptica,  borde liso y color verde m ate en el h az y verde claro mate en el en vés. | La floración generalmente ocurre durante la temporada de lluvias. Las flores son pequeñas y generalmente de color blanco o amarillo pálido. La floración puede variar según las condiciones climáticas y la región. La formación de frutos generalmente sigue a la floración. Los frutos son vainas que contienen semillas. Pueden tardar un tiempo en madurar después de la polinización. Su floración es una fuente de néctar y de polen, siendo esta especia visitada por abejas grandes (de las llamadas carpinteras).  | Ornamental.
Erythrina poeppigeana   | Poró.   | Fabaceae   | Se distribuye naturalmente desde Costa Rica hasta Colombia. Se desarrolla en  zonas altas de ambas vertientes.   | Árbol que alcanza hasta 10 m de alto, sus hojas son  compuestas y alternas. Las flores son de color rojizo y sus frutos son vainas  gruesas con semillas de color rojo -naranja.   | La floraci ón se da entre los meses de Agosto a octubre y los frutos  entre noviembre y diciembre.   | Es utilizado como poste vivo en cercas. Hojas trituradas se colocan sobre  heridas infestadas de gusanos y se dice que eliminan los gusanos. La corteza  aplicada com o una cataplasma es usada para tratar dolores, heridas, abscesos y  artritis.  Infusiones de las hojas son usadas como gotas de oídos para aliviar el  dolor de oídos, y decocciones de las raíces son aplicadas a las torceduras. La  Erythrina spp, contiene un gr an número de alcaloides que se sabe que son  altamente tóxicos, pero la medicina tradicional sugiere que tienen efectos  antibacteriales, anti -inflamatorios y analgésicos.
Elaeoluma glabrescens   | Paleta , Carey.     | Sapotaceae.   |  Esta especie se encuentra  en la verti ente del Pacífico Norte, sur   Pacífico Central, zona norte y  Caribe,  así como en el Valle Central.   | Árbol de  dosel, que  alcanza los 35 m de alto y  80 cm de dap. Tiene fuste cilíndrico,  acanalado hacia la base, con gambas  pequeñas. La corteza es lisa y pardo  negruzca y el interior es rojiza. La  savia es lechosa, cremosa, a veces  verde amarillenta. Las hojas son  simples, alternas, cartáceas y no tiene  estípulas.  | Las flores se agrupan en fascículos axilares, con 3 o  25 flores de color cremoso o verdosas, aromáticas. El fruto es ancho elipsoide, carnoso, liso y brillante, que contiene una semilla.    |  La madera es fácil de aserrar, cepillar y lijar, pero no es muy durable si se deja a campo libre, ya que es susceptible a hongos. La madera se utiliza en construcción general, pisos y artesanía.
Ficus citrifolia Mill.   | Higuerón.  | Moraceae   | Florida: En los Estados Unidos, Ficus citrifolia se encuentra en el sur de Florida, especialmente en áreas costeras y zonas húmedas. Islas del Caribe: Esta especie se encuentra en varias islas del Caribe, incluyendo Bahamas, Cuba, Puerto Rico y otras. América Central: Ficus citrifolia se distribuye en varios países de América Central, como México, Belice, Guatemala, Honduras, El Salvador, Nicaragua, Costa Rica y Panamá. América del Sur: En América del Sur, se encuentra en países como Colombia, Venezuela, Ecuador, Perú y Brasil. |  Arbusto o árbol, de 2 -15 m, regularmente hemiepífito. Hojas simples, alternas, con la lámina de 5 -23 × 2 -10 cm, oblongo - ovada a oblongo -elíptica. Flores de 3  tipos, usualmente entremezclados (en  las especies nativas): a) flores estaminadas, con el perianto 2 -6-partido y 1 -2 estambres;  b)flores pistiladas fértiles, sésiles, con el perianto 2 -4-partido y el estilo largo; y flores pistiladas estériles, pedunculadas (que funcionan como incubadoras de  larvas de las avispas  que polinizan las flores fértiles) y el estilo corto.  Infructescencias siconos geminados, de 0.8 -1.5 cm de diámetro, pedúnculo de 0.5 -1.2 cm, brácteas 2, de  0.2-0.3 cm, ostíolo plano o elevado, hasta de ca. 0.1 cm. Frutos aquenios. Se reconoce por sus hojas glabras con el pecíolo muy largo (+6 cm), la base truncada y los siconos grandes (hasta 1.5 cm) y pedunculados. Es frecuente que al ser  jóvenes, el envés de las lámina foliares, adquiera un color rojizo   |  Siconos observados todo el año  (Florula, La selva. 2012).   | Comido por fauna.
Ficus velutina Humb. & Bonpl. ex Willd.   | Higuerón   | Moraceae   |  Desde Guatemala hasta Venezuela.  En nuestro país s e encuentra en el Valle Central, en la Cordillera de Talamanca y en la Reserva Biológica Monteverde, a una elevación de 1000 a 2000 m   | Árbol de 8 a 15 (20) m. Estípulas cubiertas por pelos  pardo -rojizos, de 12 a 20 por 6 a 10 mm. Hojas de ancho -elípticas a ovadas, de 9  a 20 por 4.5 a 13 cm. Síconos pareados, de 14 a 22 mm de diámetro. Pedúnculos  de 2 a 8 mm, con 2 brácteas, de 2 a 4 por 4 mm. Ostíolo hundido en un cuello de 1  a 2.5 mm. Se reconoce por los pelos pardo -rojizos que cu bren las partes  vegetativas y los síconos, por la nervación terciaria reticulada y prominente y por  su hábitat montano. Esta última característica  lo diferencia de  Ficus bullenei, que  no asciende tanto, y que además presenta el ostíolo hundido en un cuello más grande.   |  Síconos observados de enero a febrero, de junio a setiembre y de noviembre a diciembre.   | Comido por fauna.
Ficus colubrinae Standl.   | Higuerón   | Moraceae   | bosque húmedo, muy húmedo  y pluvial. De México a Colombia. En Costa  Rica, 0 -1450 m; Ambas vertientes de la  Cordillera de Talamanca; Vertiente Caribe,  Cordilleras Central, de Guanacaste y  Tilarán, Llanuras de Los Guatusos, San  Carlos y Tortuguero; Verti ente Pacífica,  Valle Central, Península de Osa .  | Arbusto o árbol, hasta de 12 m, regularmente  hemiepífito. Hojas simples, alternas, con la lámina de 4 -11 × 2 -6 cm, elíptica a  obovada. Flores de 3 tipos, usualmente entremezclados ( en las especies nativas):  a) flores estaminadas, con el perianto 2 -6-partido y 1 -2 estambres; b)flores  pistiladas fértiles, sésiles, con el perianto 2 -4-partido y el estilo largo; y flores  pistiladas estériles, pedunculadas (que funcionan como incubadoras de larvas de  las avispas que polinizan las flores fértiles) y el estilo corto. Infructescencias  siconos geminados, de 0.4 -0.8 cm de diámetro, sésiles, brácteas 2, de ca. 0.2 cm,  enteras, ostíolo plano. Los Frutos son aquenios. Se reconoce por sus estípulas   cubiertas por tricomas dorados, láminas foliares pequeñas, trinervadas; siconos  pequeños y sésiles.   |  Siconos observados todo el año. | Comido por fauna. Los siconos de la planta son muy apetecidos por aves  y muerciélagos , que los visitan asiduamente
Ficus co tinifolia Kunth .  | Higuerón   | Moraceae   |  Se encuentra en el Valle Central y la vertiente del Pacífico: San Antonio de Belén, Parque Nacional Santa Rosa y Reserva Biológica Monteverde. Elevación: entre 0 y 900 m.   | Árbol  hasta de 45 m de altura, a veces epífito. Estípulas de 7 a 15 por 2 a 7 mm, glabras o  densamente cubiertas por tricomas blanco -dorados.  Hojas ovadas, ancho - oblongas o sub -orbiculares, de 4 a 14 por 2 a 8 cm.   Sícono s pareados de 6 a 10 mm de diámetro, sésiles, con 2 brácteas, de 4 por 4  mm. Ostiolo plano. Bosques húmedos o secos; estos árboles generalmente  cuentan con numerosas raíces aéreas que sobresalen de las ramas inferiores y  que les otorgan una forma impresion ante. También se observan crecer  ocasionalmente sobre rocas, apoyados en numerosas raíces que aprovechan  cualquier grieta para establecer contacto con el suelo.   |  Síconos observados de octubre a febrero.   | Medicinalmente se ha empleado en ma gulladuras, problemas intestinales y llagas.
Ficus jimenezii Standl .  | Higuerón   | Moraceae   |  Se encuentra en el Valle Central y en ambas vertientes: en Puriscal, Reserva Biológica Monteverde y en Turrialba. Elevación: de 760 a 1500 m.    | Árbol de 8 a 25 m. Estípulas de 10 a 30 mm, glabras o  densamente cubiertas por tricomas diminutos blancos.Hojas elípticas, oblongas u  obovadas, de 4.5 a 13 por 3 a 8 cm.  Sícono s pareados, de 7 a 12 mm de  diámetro, sésiles, con 2 brácteas enteras hasta de 6 por 10 mm. Ostíolo  mayormente plano.  Se reconoce por sus hojas de ápice redondeado o agudo, los  nervios secundarios más evidentes en el haz que en el envés y los síconos  peque ños, sésiles y con brácteas que cubren más de la mitad de la superficie.   Es similar a  Ficus laterisyce , pero este tiende a mostrar los nervios secundarios  más marcados y el ápice agudo.   |  Síconos observados en febrero, de abril a mayo y de julio a agosto.   | Se ha empleado como verrífugo.
Genipa americana L.   | Guaitil, Guaitil Blanco, Jagua , Tabacón,  Tapaculo    | Rubiaceae | América Central: Genipa americana se encuentra en varios países de América Central, incluyendo Belice, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua y Panamá. América del Sur: Esta especie se distribuye ampliamente en países de América del Sur, como Colombia, Venezuela, Ecuador, Perú, Brasil, Bolivia, Paraguay y partes de Argentina. | Árbol, de  hasta 25 m. Hojas de 10 –36 × 4 –15 cm,  elípticas a oblanceoladas u obovadas,  ápice agudo a acuminado, base aguda, coriáceas al secarse; con 9 –18 pares de  venas secundarias; pecíolos de 5 –10 mm. Inflorescencias terminales, flores  pistiladas subsésiles y a veces  solitarias, flores estaminadas 2 –7, en cimas hasta  de 10 × 10 cm, con pedúnculos de 5 –20 mm; brácteas caducas, triangulares, de  3–5 mm, agudas; pedicelos de 5 –10 mm. Flores en apariencia crípticamente  unisexuales y las plantas dioicas; limbo del cáliz int ernamete seríceo a piloso, de  6–10 mm, truncado a levemente 5 -lobulado; corola, de textura gruesa,  densamente serícea en el exterior, densamente pilosa a villosa en el interior, tubo  de 10 –15 mm, lóbulos 5, ovados a obovados, de 10 –28 mm, redondeados. Baya s  de 4 –11 × 5 –11 cm, globosas a elipsoidales u obovoides, lisas a lenticeladas,  oxidandose a azul -oscuro cuando se cortan; semillas de 6 –12 × 4 –7 mm. Este  género se se conoce por su hábito arbustivo o arbóreo, hojas opuestas, enteras,  con estípulas interpe ciolares triangulares, los tejidos internos oxidandose de color  azul-oscuro , inflorescencias con cimas cortas y las flores y frutos relativamente  grandes. La función sexual de las flores en Genipa aparenta ser variable, y  ciertamente la biología floral ha  sido descrita de varias maneras. Las plantas que  crecen en bosques secos, pueden a veces separarse por sus hojas con el envés  piloso, y pueden segregarse como G. americana var. caruto (Kunth) K. Schum. Las plantas de LS pertenecen a G. americana var. americana. La savia se torna  azul-índigo al exponerse al aire, y es usada para tatuar la piel en algunas partes  de Sur América; en especimenes secos, particularmente los frutos, tiene un  distintivo color azul -negro. Estos árboles ampliamente distribuidos, no son tan  intensamente cultivados en el neotrópico por sus frutos comestibles, los cuales  son reputados localmente por sus propiedades medicinales   |  Flores recolectadas de Abril –Agosto, frutos producidos la mayor parte  del año.   |  Guaiti l, Guaitil blanco, Jagua, Tabacón, Tapaculo (La decocción  de la raíz y la corteza se ha usado como purgante y como remedio para tratar la  gonorrea. La corteza es rica en taninos empleados por la industria de la tenería,  de ella también se pueden obtener fi bras para confeccionar prendas bastas. Las  hojas sirven de forraje para el ganado bovino. Sus flores son una importante  fuente de néctar; la infusión de éstas tiene propiedades febrífugas y tónicas. Los  frutos maduros son comestibles crudos, con ellos se e laboran mermeladas, varios  refrescos, y es posible obtener del jugo de ellos un tinte negro; éste suele  emplearse entre los indígenas de algunas etnias amazonicas, para pintar  simbolicamente el cuerpo en ciertos rituales, o para protegerse la piel de la  picadura de los insectos; los frutos son ricos en hierro, riboflavina y tienen  propiedades antibióticas, astringentes, hemostáticas y se usan medicinalmente en  casos de asma, disentería e ictericia. Las semillas contienen cafeina. El exudado  de la corteza se  ha empleado en Las Antillas y Venezuela como colirio. En Las  Guayanas usan la decocción de la raíz como purgante y contra la diarrea. Los  cataplasmas de la corteza los aplican como vulnerario y la decocción de la misma  es ingerida para tratar la diarrea)  (Florula, La selva. 2012).
Guarea kunthiana A. Juss   | Cacao de monte, cedrillo   | Meliaceae   |  Especie muy extendida desde Nicaragua hasta Paraguay, incluyendo las Antillas.   | árbol de aproximadamente 20m. Es uno de los árboles que produce grandes frutos y  semillas en los bosques. Estos frutos tienen forma globosa, alcanzan 7 cm de  diámetro y en su interior albergan varias semillas de gran tamaño .Especie de  crecimiento moderadamente rápido, necesita algo de sombra en su estado juvenil  para su adecuado desarrollo. | La floración de Guarea kunthiana generalmente ocurre durante la temporada de lluvias. Las flores pueden ser pequeñas y de color blanco o crema. La floración es un evento clave en el ciclo de vida de la planta, ya que marca el comienzo del proceso de reproducción. La formación de frutos sigue a la floración. Los frutos pueden ser cápsulas o drupas, y generalmente contienen semillas. La fructificación es importante para la dispersión de las semillas y la propagación de la especie.  |  La madera es usada para elaborar chapas decorativas. Con la madera se puede elaborar tríplex. La madera es usada en cajonería.
Gouania lupuloides (L.) Urb. |  bejuco leñatero o jaboncillo o hierba negra | Rhamnaceae   |  México, las Antillas hasta  Perú y Venezuela. En Costa Rica  amplia en ambas vertientes, desde  climas secos hasta muy húmedos, 0 - 2100 m. Es frecuente en la orilla d e  bosques, vegetación secundaria o sitios  abiertos y soleados   | Bejuco,  Hojas 3.5 -12 × 1.5 -7 cm, simples,  alternas, ovadas, ovado -elípticas o  angosto -elípticas, ápice agudo o corto acuminado, base redondeada o  subcordada, pubescenc ia fina sobre los nervios en el envés, margen aserrado o  dentado; pecíolos 0.5 -2.5 cm de largo. Inflorescencias panículas, hasta 20 cm de  largo. Flores verdosas; sépalos 5; pétalos 5, unguiculados; estambres 5. Fruto  esquizocarpo (simple seco), 7 -15 mm de largo, con 3 alas y 3 semillas. Se  reconoce por sus hojas con el envés mayromente glabro o con pelos esparcidos  especialmente sobres los nervios. Está muy relacionada con G. polygama, de la  cual se diferencia en que la última tiene el envés densamente pube scente, la  lámina algo más gruesa y la venación más marcada. | Floración en los meses de abril, septiembre, octubre, noviembre y diciembre y la fructificación en los meses de Enero, febrero, marzo y abril. |  La planta se ha usado como dentrifico (mascando sencillamente los tallos frescos), veneno, jabon, diuretico, tonico y febrifugo, en casos de hidropesia, gingivitis, piorrea, inclu so tambien, como sutituto del “Lupulo” (Humulus)en en la fabricacion de cerveza (Florula, La selva. 2012).
Guatteria amplifolia Triana & Planch   | nance silvestre o nance   | Annonaceae   |  México a Panamá.  En Costa Rica, en general frecuente en la mayoría de los bosques muy húmedos de tierras bajas de país, en  la zona norte, vertiente del Caribe, las cordilleras de Til arán, Volcánica Central y  de Talamanca; 0 -1.500 m   | Árbol, 6 -10 m de alto; ramitas verdosas, glabras. Hojas  simples, alternas, dísticas, 9 -26 (-28) x 3,2 -9(-12), elípticas a oblongo -elípticas,  ápice acuminado, base cuneada a obtusa , en general glabras, nervios secundarios  elevados en el envés. Flores solitarias o 2 -3 por axila, pedicelos 2 -2.5 cm de largo;  sépalos de 6 x 6 mm, ovados; los 3 pétalos externos de 1 -1.5 x 0.5 -0.8 cm,  oblongos y verdosos, los internos 2.3 x 1.1 cm, linea res; estambres numerosos.  Frutos apocárpicos, monocarpos 10 -20 (-33), de 7 -10 x 4 -6 mm, elipsoidales,  estípite 1 -1.3(-1.7) cm de largo con una semilla. Se caracteriza por sus hojas en  general glabras y las venas secundarias elevadas en el envés   |  Flores observadas de enero a abril, noviembre y diciembre; frutos de  enero a junio, setiembre y noviembre  (Florula, La selva. 2012).  | Los frutos de Guatteria amplifolia son comestibles y pueden ser consumidos frescos. Estos frutos a menudo se asemejan a los nances y son valorados por su sabor dulce y agradable. En algunas culturas locales, las diferentes partes de la planta (hojas, corteza, raíces) pueden haber sido utilizadas con fines medicinales. Se han atribuido propiedades como antipiréticas, antiinflamatorias y diuréticas a ciertas especies del género Guatteria. Dado que muchas especies de la familia Annonaceae, a la cual pertenece Guatteria amplifolia, contienen compuestos fitoquímicos con potencial farmacológico, la investigación científica podría estar explorando los componentes químicos y las posibles propiedades medicinales de esta especie y sus partes.
Guazuma invira (Guazuma ulmifolia Lam)   | Guácimo blanco   | Sterculiaceae   |  Desd e México a Ecuador a través de América Central, Perú, norte de Argentina, Bolivia y sur de Brasil, así como el Caribe. Se ha plantado  experimentalmente en América Central, en condiciones de bosque seco, húmedo  y muy húmedo. Como la especie ocurre a un gran  rango de climas, al plantarla es  muy importante escoger una fuente de semillas apropiada. Si la semilla proviene  de una zona seca posiblemente no crecerá bien en una zona húmeda y viceversa   | Árbol pequeño, raramente de más de 8 m  en  condiciones abiertas y 16 m en bosque cerrado. Diámetro hasta 50 cm. Ramifica  desde baja altura. Copa ancha, irregular, con ramas arqueadas. Corteza gris, con  fisuras horizontales y verticales en forma de diamante. Hojas simples, alternas,  formando dos  hileras a lo largo de la rama. La hoja es lanceolada, 2 -16 cm de  largo, con borde serrado. El haz es liso y verde oscuro, el envés verde pálido y  velloso., con venas abultadas. Los grupos de pequeñas flores amarillas se  agrupan en panículas de hasta 3 cm de largo. Los frutos son cápsulas redondas,  de  1.6 -2.4 cm de largo, muy verrugosas. Oscurecen y endurecen al madurar, Y se  abren irregularmente por muchos poros pequeños, aunque sin liberar la semilla.  Dentro hay cinco celdas con numerosas semillas blanca s de 3 mm envueltas en  una pulpa dulce.  Un componente común del bosque secundario, pero también  regenera bien en bosquetes, claros, a lo largo de corrientes de agua, en pastos y  laderas de colinas bajas. Es una especie pionera que coloniza rápidamente área s  abiertas. En bosque secundario, los árboles maduros se encuentran en  densidades bajas, pero distribuidos regularmente en el bosque. Se reportan  ataques de larvas de insectos en los frutos. Las plantas jóvenes son atacadas por  un escarabajo cerambícido (C erambix spp) que anilla y corta la madera de tallos y  ramas de hasta 3 cm de diámetro. Las hojas son atacadas por áfidos.   | Flores de abril a junio y frutos de junio a setiembre   |  La madera no suele tener suficiente calidad para ser  comercializada para aserrío, usándose localmente más a menudo para  construcciones y carpintería general. Sin embargo, la leña es altamente preferida y  existe mercado para ella en ciertas áreas. Las hojas y frutos son importantes como  suplemento en la dieta de ganado especialmente en periodos secos, pero  normalmente no se comercializan.
Goethalsia meiantha (Donn. Sm.) Burret   | Chancho Blanco, Guácimo, Guácimo Blanco   | Malvaceae   |  Nicaragua hasta Colombia  y Ve nezuela. En Costa Rica amplia,  principalmente en climas húmedos a  muy húmedos de elevaciones bajas, 0 - 700 m. En LS frecuente a común en  vegetación secundaria.   | Árbol , 15-30 m de alto, Tronco cilíndrico con gambas  laminares, indivi duos adultos a veces con el tronco acanalado. Hojas simples,  alternas, 7 -14 x 5 -8 cm, elíptico -oblongas u obovado -oblongas, ápice acuminado,  base aguda a redondeada, margen dentado -aserrado en la mitad distal, envés  blanquecino, densamente cubierto con tri comas estrellados, trinervadas en la  base; pecíolos 1.0 -1.2 cm de largo. Inflorescencias cimosas, axilares o terminales,  más cortas que las hojas. Flores blancas; sépalos 5, de 1 cm de largo; pétalos 5,  de 4 mm de largo; estambres numerosos, hasta 25. Frut o de 3 (4) sámaras  unidas, alas de 3.5 -4 x 1.5 -2 cm, cada sámara con 1 -4 semillas en la mitad.  Semillas en forma de pera, aplanadas, 2.8 -4 x 1.8 -2.5 mm. Se caracteriza por sus  hojas dísticas, trinervadas, la lámina relativamente delgada y de un mismo color   en ambas caras. Las hojas jóvenes son de un color rosado -rojizo característico.  En forma vegetativa a veces se confunde con el género Trichospermum, pero en  éste normalmente el envés de las hojas es de color blanquecino, con pelos  estrellados largos y los  dientes del margen son más agudos  (Florula, La selva.  2012). | Flores observadas de Junio a Septiembre. Frutos observados en Enero y de Julio a Diciembre.  |  Ornamental.
Garcinia intermedia (Pittier)Hammel   | Jorco, jobo.   | Clusiaceae.   | En bosques húmedos a muy  húmedos, principalmente de la vertiente del  Pacífico, desde la parte baja de la Península  de Nicoya hasta la Península de Osa; de 0 a  1.200 m de elevación.   |  amarillento. Hojas  simples, opuestas, dísticas, de 8 -25 por 3 -9 cm, elípticas, ápi ce agudo a  acuminado, glabras, borde entero. Flores blanco amarillento, solitarias en  fascículos axilares. Frutos tipo bayas, de 2,5 por 4 cm de largo, ovoides, carnosas,  anaranjadas cuando maduras, superficie lisa; semillas de 1 a 2.  Esta especie  presenta  una fuerte variación en el tamaño de sus hojas, desde relativamente  pequeñas en climas secos o con estacionalidad  climática marcada hasta grandes  en climas muy húmedos. Los individuos que crecen en climas muy húmedos son  difíciles de diferenciar de  G. mad runo por poseer hojas de igual tamaño. Las hojas  de G. intermedia  se caracterizan por no tener un nervio submarginal visible a  simple vista; cuando secas, la lámina es opaca y con una coloración pardo  verdoso sin hileras claras de resina, que sí son eviden tes en  G. madruno .  | Flores observadas de enero a marzo y de julio a octubre. Frutos de  enero a junio y en diciembre    |  Ocasionalmente se cultiva como ornamental por sus frutos comestibles en  las cercanías del Valle Central; vale la pena hacer  esta práctica más extensiva.
Gliricidia sepium  (Jacq.) Kunth ex Walp.   | Madero negro.   | Fabaceae   |  Esta especie  se encuentra en la verti ente del  Pacífico Norte, sur  Pacífico Central,  zona norte y  Caribe, así como en el  Valle Central.   |  Árbol, arbusto caducifolio, de 2 a 15 m (hasta  20) m de  altura, con un diámetro a la altura del pecho  entre 25 y 60 cm, normalmente más  pequeño (30).  Copa / Hojas. Copa irregular. Amplia cobertura del  follaje. Hojas  compuestas, alternas, e imparipinnadas.  Miden de 12 a 30 cm de largo  (incluyendo el pecíolo).  Compuestas por 7 a 25 folíolos opuestos de 3 a 8 cm  de  largo por 2 a 4 cm de ancho, ovados a elípticos,  con el margen entero. Las flores  son rosadas y se agrupan en  racimos  densos de 10 a 20 cm de largo, situados en  las axilas de las hojas caídas. Cada racimo tiene de 15 a  50 flores zigomorfas, de  2 a 3 cm de largo, dulcemente  perfumadas. Corola en forma de  mariposa. Vainas  lineares y dehiscentes a lo largo de 2  suturas, aplanadas, de 10 a 20 cm de largo y  1 a 3 cm  de ancho, agudas, péndulas, con nervadura fina, verde  limón o pardo  claras cuando nuevas y oscuras al  madurar. Cada vaina con 3 a 10 semillas.   | Florece de (febrero) marzo a junio (julio) .  |  Esta especie forrajera presenta  grandes expectativas de uso en sistemas   silvopastoriles por su notable desarrollo anual y  abundante producción de follaje  (biomasa) por ramas  primarias de origen ve getativo. Árbol multipropósito de  gran  interés agroforestal (con una base de  conocimiento acumulada).
Heliocarpus appendiculatus  Turcz   | Burío, Jonote   | Malvaceae   |  México hasta Perú. En Costa Rica en ambas vertientes, más  frecuente en la vertiente pacífica, en climas de húmedos a muy húmedos, 50 -1600   | Árbol, 10 -25 m de alto, Tronco cilíndrico. Hojas simples,  alternas, 7 -21 x 6 -19 cm, ancho ovadas a menudo ligeramente 3 -lobadas, ápice  acuminado, base cordado -decurrente a obtusa con 2 aurículas foliáceas 3 -5 mm  de largo y varias glándulas en el márgen, mar gen aserrado, envés blanquecino  con densos tricomas estrellados y 5 venas principales desde la base; pecíolos 2.5 - 14.5 cm de largo. Inflorescencias en panículas terminales, de 10 a 20 cm de largo.  Flores (especie dioica) amarillentas; flores masculinas de 8-9 mm de diámetro;  sépalos 4, de 4 mm de largo; pétalos 4, de 3 mm de largo; estambres alrededor de  20-30; flores femeninas más pequeñas y sin estambres. El Fruto son nuececillas,  de 3 mm de diámetro, globosos, con el margen rodeado de numerosas cerdas  muy delgadas, rojizas y con 1 semilla. Se reconoce fácilmente por sus hojas  amplio ovadas, con el margen aserrado y con 2 ápendices o aurículas foliáceas  conspicuas en la base de la lámina, las aurículas con varias glándulas en el  margen  (Florula, La selva. 2012). | Florece desde diciembre hasta mediados de marzo y la fructificación persiste hasta mediados de junio (Lay, 1949). En Nicaragua florece de enero a febrero y fructifica de febrero a junio (Stevens et al., 2001).   |  Apoyo a la avifauna, Hospedera mariposas, Restauración, Agropecuarias
